n,mean_abs_error,std_error
10,0.45168147,0.08610245
110,0.14259056,0.02456271
210,0.06501480,0.01535370
310,0.06472183,0.01786394
410,0.04492974,0.01039526
510,0.07991676,0.01598292
610,0.08340050,0.01713494
710,0.03932179,0.00993707
810,0.05546170,0.01367007
910,0.04809875,0.00811488
1010,0.04930523,0.01615415
1110,0.04029988,0.00624949
1210,0.04121418,0.00630712
1310,0.02304928,0.00481854
1410,0.03816498,0.00709618
1510,0.04429009,0.00924741
1610,0.04621563,0.00893937
1710,0.03067215,0.00675800
1810,0.03911602,0.00761583
1910,0.03325215,0.00650729
2010,0.02712450,0.00690827
2110,0.02547493,0.00433694
2210,0.02418468,0.00679601
2310,0.03375255,0.00603609
2410,0.03170124,0.00628587
2510,0.02369702,0.00443443
2610,0.03904650,0.00450321
2710,0.01994715,0.00491382
2810,0.02647687,0.00503287
2910,0.01952128,0.00532524
3010,0.01913621,0.00421370
3110,0.03879702,0.00749154
3210,0.02504673,0.00603771
3310,0.02147090,0.00671734
3410,0.02388088,0.00604782
3510,0.02860399,0.00671262
3610,0.01923266,0.00442802
3710,0.02447439,0.00527945
3810,0.01676997,0.00437954
3910,0.01751267,0.00335532
4010,0.03020315,0.00623502
4110,0.01917802,0.00506961
4210,0.02137268,0.00416677
4310,0.02552204,0.00491061
4410,0.02334908,0.00271079
4510,0.01951220,0.00458911
4610,0.02950108,0.00641139
4710,0.01359648,0.00360999
4810,0.01713098,0.00356875
4910,0.01696293,0.00431825
5010,0.01351780,0.00273635
5110,0.01442120,0.00283577
5210,0.01749319,0.00472200
5310,0.01748185,0.00380095
5410,0.02181146,0.00589232
5510,0.00957621,0.00159670
5610,0.01708843,0.00287250
5710,0.02021057,0.00572459
5810,0.01723419,0.00423559
5910,0.01369924,0.00544853
6010,0.02106396,0.00329801
6110,0.01902230,0.00401188
6210,0.01766766,0.00328969
6310,0.01410140,0.00262814
6410,0.01528861,0.00449924
6510,0.02690532,0.00425601
6610,0.01228881,0.00299245
6710,0.01704918,0.00486729
6810,0.01492646,0.00513377
6910,0.01143895,0.00317665
7010,0.01202384,0.00336851
7110,0.01793101,0.00388936
7210,0.01478178,0.00473391
7310,0.01926129,0.00478380
7410,0.02563015,0.00521487
7510,0.01162821,0.00247109
7610,0.01859237,0.00326632
7710,0.01684458,0.00456336
7810,0.00767833,0.00175764
7910,0.00935530,0.00354622
8010,0.01802747,0.00307556
8110,0.01424620,0.00324516
8210,0.01366508,0.00173814
8310,0.02343935,0.00448548
8410,0.01326992,0.00372698
8510,0.01760391,0.00300086
8610,0.01557867,0.00332508
8710,0.01056257,0.00272027
8810,0.01607264,0.00337721
8910,0.01418631,0.00323852
9010,0.02108768,0.00372585
9110,0.01708213,0.00279896
9210,0.01163952,0.00320771
9310,0.01632653,0.00356198
9410,0.00651194,0.00155748
9510,0.01924096,0.00354461
9610,0.01608128,0.00350110
9710,0.01714255,0.00293916
9810,0.01618659,0.00288468
9910,0.01210159,0.00289593
