n,mean,stderr
1000,0.00002441,0.00000130
2000,0.00004745,0.00000061
3000,0.00006953,0.00000051
4000,0.00009347,0.00000076
5000,0.00012630,0.00000571
6000,0.00014022,0.00000079
7000,0.00017878,0.00001284
8000,0.00018414,0.00000143
9000,0.00021089,0.00000095
10000,0.00023512,0.00000243
11000,0.00025755,0.00000135
12000,0.00028296,0.00000365
13000,0.00030224,0.00000119
14000,0.00032468,0.00000225
15000,0.00034725,0.00000110
16000,0.00037053,0.00000179
17000,0.00040008,0.00000155
18000,0.00042864,0.00000256
19000,0.00044989,0.00000232
20000,0.00047681,0.00000267
