n,mean,stderr
1000,0.00000779,0.00000041
2000,0.00001502,0.00000065
3000,0.00002165,0.00000082
4000,0.00002843,0.00000140
5000,0.00003088,0.00000213
6000,0.00004099,0.00000176
7000,0.00004950,0.00000270
8000,0.00005839,0.00000186
9000,0.00006130,0.00000292
10000,0.00006909,0.00000378
11000,0.00008333,0.00000361
12000,0.00008265,0.00000444
13000,0.00009112,0.00000415
14000,0.00009771,0.00000451
15000,0.00009794,0.00000579
16000,0.00010337,0.00000519
17000,0.00012895,0.00000432
18000,0.00012838,0.00000494
19000,0.00014073,0.00000668
20000,0.00014543,0.00000581
